config,MRR,R@1,R@5,R@20,R@50,R@100
E1 visual only,0.28737810543078707,0.17,0.44,0.57,0.66,0.78
E1 ocr only,0.21444134939843892,0.12,0.34,0.42,0.45,0.46
E1 asr only,0.205811764533357,0.1,0.35,0.52,0.56,0.58
E1 visual+ocr,0.3590844654726201,0.25,0.48,0.71,0.76,0.82
E1 visual+asr,0.4596231981110517,0.33,0.63,0.74,0.8,0.85
E1 all (equal RRF),0.4751207061029818,0.31,0.68,0.84,0.88,0.91
E2 ocr qo only,0.21023045853946368,0.11,0.35,0.42,0.48,0.51
E2 asr qa only,0.31270706390664366,0.19,0.5,0.59,0.59,0.62
E3 hierarchical RRF,0.5281337086882865,0.37,0.73,0.86,0.89,0.93
E3 hier (ocr QE only),0.49887503068419486,0.33,0.72,0.84,0.88,0.92
