tier,which,w_original,w_expansion,MRR,R@1,R@5,R@20,R@50,R@100
beta,ocr,0.0,1.0,0.27259840272817115,0.15714285714285714,0.40476190476190477,0.5904761904761905,0.6476190476190476,0.6761904761904762
beta,asr,0.0,1.0,0.2674640078897045,0.1380952380952381,0.40476190476190477,0.5857142857142857,0.6571428571428571,0.7095238095238096
beta,ocr,0.1,0.9,0.2758011589298253,0.15714285714285714,0.4142857142857143,0.5904761904761905,0.6523809523809524,0.680952380952381
beta,asr,0.1,0.9,0.267822746563137,0.1380952380952381,0.40476190476190477,0.5904761904761905,0.6523809523809524,0.7095238095238096
beta,ocr,0.2,0.8,0.28307039756579006,0.16666666666666666,0.4238095238095238,0.5904761904761905,0.6571428571428571,0.6952380952380952
beta,asr,0.2,0.8,0.2778339727343078,0.1523809523809524,0.4095238095238095,0.5952380952380952,0.6523809523809524,0.7095238095238096
beta,ocr,0.3,0.7,0.28267823756784827,0.1619047619047619,0.43333333333333335,0.5952380952380952,0.6619047619047619,0.6952380952380952
beta,asr,0.3,0.7,0.28122152053130656,0.15714285714285714,0.4095238095238095,0.5952380952380952,0.6571428571428571,0.7142857142857143
beta,ocr,0.4,0.6,0.2831705823588389,0.1619047619047619,0.42857142857142855,0.5952380952380952,0.6619047619047619,0.6952380952380952
beta,asr,0.4,0.6,0.2796745192697721,0.1523809523809524,0.42857142857142855,0.6,0.6619047619047619,0.7047619047619048
beta,ocr,0.5,0.5,0.28621584006088185,0.16666666666666666,0.42857142857142855,0.6,0.6619047619047619,0.6952380952380952
beta,asr,0.5,0.5,0.28621584006088185,0.16666666666666666,0.42857142857142855,0.6,0.6619047619047619,0.6952380952380952
beta,ocr,0.6,0.4,0.2808663499682416,0.15714285714285714,0.43333333333333335,0.6,0.6571428571428571,0.6952380952380952
beta,asr,0.6,0.4,0.28171594738335515,0.1619047619047619,0.41904761904761906,0.5952380952380952,0.6571428571428571,0.6952380952380952
beta,ocr,0.7,0.3,0.2821747428600939,0.1619047619047619,0.4238095238095238,0.6,0.6523809523809524,0.6904761904761905
beta,asr,0.7,0.3,0.2830306869938596,0.16666666666666666,0.41904761904761906,0.5904761904761905,0.6571428571428571,0.6952380952380952
beta,ocr,0.8,0.2,0.2766579499672628,0.1523809523809524,0.42857142857142855,0.6,0.6523809523809524,0.6857142857142857
beta,asr,0.8,0.2,0.27747139942112553,0.15714285714285714,0.4238095238095238,0.5904761904761905,0.6523809523809524,0.6857142857142857
beta,ocr,0.9,0.1,0.27193182614909106,0.14761904761904762,0.41904761904761906,0.6047619047619047,0.6428571428571429,0.6714285714285714
beta,asr,0.9,0.1,0.27582062498435156,0.15714285714285714,0.41904761904761906,0.5857142857142857,0.6428571428571429,0.6857142857142857
beta,ocr,1.0,0.0,0.2665394664262849,0.14761904761904762,0.40476190476190477,0.580952380952381,0.6333333333333333,0.6714285714285714
beta,asr,1.0,0.0,0.2762388445204824,0.1619047619047619,0.4238095238095238,0.580952380952381,0.638095238095238,0.680952380952381
