w_visual,w_ocr,w_asr,MRR,R@1,R@5,R@20,R@50,R@100
0.3,0.35,0.35,0.2806134266859047,0.1619047619047619,0.43333333333333335,0.580952380952381,0.6523809523809524,0.6952380952380952
0.3,0.4,0.3,0.2754812646929661,0.16666666666666666,0.3952380952380952,0.5666666666666667,0.6523809523809524,0.6857142857142857
0.35,0.3,0.35,0.27376065233390445,0.1523809523809524,0.41904761904761906,0.5857142857142857,0.6523809523809524,0.7
0.35,0.35,0.3,0.27224155243426135,0.1619047619047619,0.3952380952380952,0.580952380952381,0.6571428571428571,0.7
0.2,0.4,0.4,0.2721706114775656,0.14761904761904762,0.44285714285714284,0.5380952380952381,0.5666666666666667,0.638095238095238
0.15,0.45,0.4,0.2720142025548905,0.15714285714285714,0.43333333333333335,0.5333333333333333,0.5619047619047619,0.580952380952381
0.25,0.4,0.35,0.2701861676978492,0.15714285714285714,0.41904761904761906,0.5571428571428572,0.6190476190476191,0.6714285714285714
0.25,0.35,0.4,0.2698278413323819,0.1380952380952381,0.44761904761904764,0.5476190476190477,0.6142857142857143,0.6857142857142857
0.15,0.4,0.45,0.2662234416260318,0.14285714285714285,0.4380952380952381,0.5333333333333333,0.5571428571428572,0.5904761904761905
0.2,0.45,0.35,0.2655519404500287,0.15714285714285714,0.4142857142857143,0.5285714285714286,0.5714285714285714,0.6238095238095238
0.4,0.4,0.2,0.2654985652629251,0.17142857142857143,0.38095238095238093,0.47619047619047616,0.5619047619047619,0.6571428571428571
0.3,0.3,0.4,0.2652884146599253,0.14285714285714285,0.43333333333333335,0.5571428571428572,0.6333333333333333,0.7
0.25,0.45,0.3,0.2602374042941672,0.15714285714285714,0.38095238095238093,0.5428571428571428,0.6190476190476191,0.6666666666666666
0.35,0.4,0.25,0.26013383457583694,0.15714285714285714,0.3619047619047619,0.5047619047619047,0.6333333333333333,0.6952380952380952
0.4,0.45,0.15,0.2573723513094048,0.17142857142857143,0.3619047619047619,0.46190476190476193,0.5428571428571428,0.5857142857142857
0.4,0.3,0.3,0.2573284988559279,0.1619047619047619,0.35714285714285715,0.49523809523809526,0.6523809523809524,0.7
0.2,0.35,0.45,0.2568168588024337,0.13333333333333333,0.4238095238095238,0.5285714285714286,0.5714285714285714,0.6333333333333333
0.35,0.45,0.2,0.25638554251926704,0.1619047619047619,0.35714285714285715,0.4857142857142857,0.5619047619047619,0.638095238095238
0.3,0.45,0.25,0.25609805341845604,0.1619047619047619,0.37142857142857144,0.5095238095238095,0.6285714285714286,0.680952380952381
0.4,0.35,0.25,0.25443535143510604,0.15714285714285714,0.37142857142857144,0.4857142857142857,0.6238095238095238,0.7095238095238096
0.15,0.5,0.35,0.25115017291324016,0.14761904761904762,0.36666666666666664,0.5047619047619047,0.5571428571428572,0.5714285714285714
0.25,0.5,0.25,0.2471970950013192,0.15714285714285714,0.3333333333333333,0.48095238095238096,0.6,0.6666666666666666
0.35,0.5,0.15,0.24568232834140294,0.1619047619047619,0.34285714285714286,0.4714285714285714,0.5333333333333333,0.5619047619047619
0.3,0.5,0.2,0.24530393046276203,0.1619047619047619,0.3333333333333333,0.47619047619047616,0.5333333333333333,0.6238095238095238
0.4,0.5,0.1,0.24407645430185163,0.16666666666666666,0.32857142857142857,0.44285714285714284,0.5238095238095238,0.5619047619047619
0.2,0.5,0.3,0.2440590960934503,0.14285714285714285,0.34285714285714286,0.5095238095238095,0.5571428571428572,0.6285714285714286
0.25,0.3,0.45,0.24272644983659672,0.11428571428571428,0.43333333333333335,0.5190476190476191,0.5857142857142857,0.680952380952381
0.15,0.35,0.5,0.2402865757345088,0.12380952380952381,0.3904761904761905,0.5095238095238095,0.5619047619047619,0.5857142857142857
0.2,0.3,0.5,0.23381421480065492,0.11428571428571428,0.38571428571428573,0.5,0.5571428571428572,0.6238095238095238
0.15,0.3,0.55,0.23191394322802372,0.12380952380952381,0.36666666666666664,0.47619047619047616,0.5428571428571428,0.5761904761904761
