set,query_id,channel,rr_V,rank_V,rr_O,rank_O,rr_A,rank_A
bench_kis,q_83460859b8c31f2b,60 Giây Official,0.0017921146953405018,558,3.072857450142888e-05,32543,1.0,1
bench_kis,q_e2e1217874535d0c,60 Giây Official,0.015625,64,0.14285714285714285,7,0.125,8
bench_kis,q_372b5c1dc20c62e3,HTV Sports,0.0012239902080783353,817,1.0,1,1.6992642185933492e-05,58849
bench_kis,q_f484e2b01a6f5c56,HTV Sports,0.0007385524372230429,1354,0.5,2,0.5,2
bench_kis,q_2c4f14bc3f0e6007,Báo Thanh Niên,0.012048192771084338,83,0.25,4,1.687080338765732e-05,59274
bench_kis,q_bec22b7b07834e5a,ViVU TV,4.5938993017273064e-05,21768,4.658529768005217e-05,21466,8.801035001716202e-06,113623
bench_kis,q_8d9f0e1d4c2b65ec,HTV Giải Trí,0.001422475106685633,703,0.3333333333333333,3,0.2,5
bench_kis,q_3840fff75adacf30,HTV Entertainment,0.014925373134328358,67,0.0001876172607879925,5330,0.006711409395973154,149
bench_kis,q_08973bc3b4ff14b3,HTV Entertainment,0.0015105740181268882,662,6.426157029573175e-06,155614,0.16666666666666666,6
bench_kis,q_7f5e33ad5173e00e,Báo Tuổi Trẻ,0.5,2,0.25,4,6.027291576257293e-06,165912
bench_kis,q_a580648e97befebe,60 Giây Official,0.014285714285714285,70,0.0013404825737265416,746,0.3333333333333333,3
bench_kis,q_393bbbb9e8eca8b9,60 Giây Official,0.0035714285714285713,280,0.0625,16,0.00017265193370165745,5792
bench_kis,q_330b6bfd1e3cff24,HTV Sports,0.010638297872340425,94,0.0001565680288085173,6387,0.00035486160397445,2818
bench_kis,q_d5b0d340abfa38f5,HTV Sports,0.0072992700729927005,137,0.0015455950540958269,647,8.833922261484099e-05,11320
bench_kis,q_93d663614a884b6e,Báo Thanh Niên,0.027777777777777776,36,2.026547775863816e-05,49345,0.005494505494505495,182
bench_kis,q_a11e25cec459ce15,ViVU TV,9.946290033817386e-05,10054,1.4054023666975854e-05,71154,0.2,5
bench_kis,q_0b92f2f348722ea7,HTV Giải Trí,0.125,8,0.06666666666666667,15,0.000588235294117647,1700
bench_kis,q_13626d117cd5935e,HTV Entertainment,0.2,5,0.001610305958132045,621,0.5,2
bench_kis,q_f09d21b45a1f8b55,HTV Entertainment,0.017543859649122806,57,6.40483693285169e-06,156132,2.8508709410724977e-05,35077
bench_kis,q_04971273d2ccdda8,Báo Tuổi Trẻ,0.5,2,0.3333333333333333,3,5.1169216599293864e-05,19543
bench_kis,q_5d906a7bc2c3ab81,60 Giây Official,1.0,1,1.0,1,0.006622516556291391,151
bench_kis,q_c71ec04bf492cc2e,60 Giây Official,0.0019646365422396855,509,1.0,1,0.00046685340802987864,2142
bench_kis,q_43ed8e7ff4221291,HTV Sports,0.025,40,1.0,1,4.683182690956774e-05,21353
bench_kis,q_e66be07839a79cac,HTV Sports,0.058823529411764705,17,1.0,1,0.02631578947368421,38
bench_kis,q_fb833c53c2d05554,60 Giây Official,1.0,1,0.3333333333333333,3,0.2,5
bench_kis,q_3ab3face18e79179,60 Giây Official,0.010416666666666666,96,1.0,1,0.3333333333333333,3
bench_kis,q_ef335f7c99e6dffc,Báo Tuổi Trẻ,1.0,1,0.008695652173913044,115,1.291822761917065e-05,77410
bench_kis,q_8b4535090b17f6e2,60 Giây Official,0.5,2,1.0,1,0.0136986301369863,73
bench_kis,q_76d63fde5a2ae819,Báo Tuổi Trẻ,0.3333333333333333,3,5.9814336300124415e-06,167184,4.580432392817882e-05,21832
bench_kis,q_4c83d3381520523e,Báo Tuổi Trẻ,1.0,1,0.5,2,6.379992344009187e-05,15674
bench_kis,q_beab805a23f43834,HTV Giải Trí,0.5,2,0.001040582726326743,961,0.0008726003490401396,1146
bench_kis,q_bd5c55c036943129,HTV Sports,0.004310344827586207,232,1.9964463255405378e-05,50089,7.0587072683508745e-06,141669
bench_kis,q_f63b2f6faccc2693,60 Giây Official,0.047619047619047616,21,0.2,5,0.5,2
bench_kis,q_e52142cb92b58d74,HTV Sports,0.034482758620689655,29,0.00013831258644536652,7230,0.00036643459142543056,2729
bench_kis,q_4a2bdbb146be8a0b,60 Giây Official,0.3333333333333333,3,0.25,4,0.25,4
bench_kis,q_c78e038f835addaf,HTV Entertainment,1.0,1,1.8017368743468703e-05,55502,2.9080757262919125e-05,34387
bench_kis,q_a998b9d5dcfa840c,60 Giây Official,1.0,1,0.25,4,1.0,1
bench_kis,q_8a965496eaf2b7cf,HTV Giải Trí,1.0,1,1.0,1,0.3333333333333333,3
bench_kis,q_cc8960fc90175a21,60 Giây Official,1.0,1,0.14285714285714285,7,0.5,2
bench_kis,q_3232beb9a65d9540,HTV Entertainment,0.018518518518518517,54,0.16666666666666666,6,1.1124707976415618e-05,89890
bench_kis,q_af41019bc369cb18,Báo Thanh Niên,0.0029069767441860465,344,0.125,8,0.016129032258064516,62
bench_kis,q_e53426e3c35abee1,HTV Giải Trí,0.16666666666666666,6,7.0131637082804425e-06,142589,1.0,1
bench_kis,q_f613c903c758eccc,60 Giây Official,0.007751937984496124,129,0.5,2,0.3333333333333333,3
